,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,year,league
0,Victor Osimhen,Lille,8,702,6,2,5.97,1.34,0.77,0.17,2019,4
1,Habib Diallo,Metz,8,641,6,0,3.80,0.42,0.53,0.06,2019,4
2,Moussa Dembele,Lyon,7,581,6,0,2.09,0.56,0.32,0.09,2019,4
3,Wissam Ben Yedder,Monaco,6,397,5,0,5.07,0.73,1.15,0.17,2019,4
4,Memphis Depay,Lyon,7,566,4,1,2.08,1.26,0.33,0.2,2019,4
5,Islam Slimani,Monaco,5,450,4,4,5.34,3.03,1.07,0.61,2019,4
6,Rachid Alioui,Angers,8,482,4,1,1.87,0.73,0.35,0.14,2019,4
7,Darío Benedetto,Marseille,8,631,4,0,3.42,0.36,0.49,0.05,2019,4
8,Eric Maxim Choupo-Moting,Paris Saint Germain,5,364,3,0,2.39,0.14,0.59,0.04,2019,4
9,Neymar,Paris Saint Germain,4,360,3,0,2.60,0.38,0.65,0.1,2019,4
10,Casimir Ninga,Angers,6,231,3,1,2.25,0.74,0.88,0.29,2019,4
11,Jimmy Briand,Bordeaux,8,487,3,1,1.18,0.38,0.22,0.07,2019,4
12,Romain Hamouma,Saint-Etienne,7,455,3,0,1.34,0.42,0.27,0.08,2019,4
13,Wylan Cyprien,Nice,8,720,3,2,3.29,1.14,0.41,0.14,2019,4
14,Júlio Tavares,Dijon,5,450,3,1,3.88,0.55,0.78,0.11,2019,4
15,Kalifa Coulibaly,Nantes,8,720,3,0,1.55,0.51,0.19,0.06,2019,4
16,Efthymios Koulouris,Toulouse,8,505,3,1,2.16,0.45,0.38,0.08,2019,4
17,Dimitri Payet,Marseille,6,540,2,0,1.46,1.23,0.24,0.2,2019,4
18,M'Baye Niang,Rennes,7,603,2,0,1.76,0.15,0.26,0.02,2019,4
19,Keita,Monaco,5,129,2,0,1.24,0.05,0.87,0.04,2019,4
20,Aleksandr Golovin,Monaco,7,599,2,1,1.00,1.76,0.15,0.26,2019,4
21,Nicolas de Preville,Bordeaux,6,461,2,0,1.08,0.88,0.21,0.17,2019,4
22,Edinson Cavani,Paris Saint Germain,3,193,2,0,2.09,0.11,0.97,0.05,2019,4
23,Valère Germain,Marseille,8,463,2,1,1.14,0.67,0.22,0.13,2019,4
24,Yoann Court,Brest,8,668,2,3,0.48,1.46,0.07,0.2,2019,4
25,Romain Philippoteaux,Nimes,8,531,2,1,1.29,0.81,0.22,0.14,2019,4
26,Andy Delort,Montpellier,8,712,2,1,4.91,0.99,0.62,0.12,2019,4
27,Jean-Victor Makengo,Toulouse,7,569,2,0,0.56,0.54,0.09,0.09,2019,4
28,Adrien Thomasson,Strasbourg,6,434,2,0,0.94,0.02,0.2,0.0,2019,4
29,Ángel Di María,Paris Saint Germain,8,584,2,2,2.99,1.78,0.46,0.27,2019,4
30,Abdoulaye Touré,Nantes,8,720,2,0,1.11,0.12,0.14,0.02,2019,4
31,Sehrou Guirassy,Amiens,7,604,2,2,2.47,0.70,0.37,0.1,2019,4
32,Mathias Autret,Brest,8,512,2,2,1.28,0.95,0.23,0.17,2019,4
33,Arnaud Souquet,Montpellier,7,630,2,0,0.25,0.10,0.04,0.01,2019,4
34,Luiz Araujo,Lille,4,263,2,0,0.43,1.08,0.15,0.37,2019,4
35,John Mendoza,Amiens,2,172,2,0,1.37,0.06,0.72,0.03,2019,4
36,Yacine Adli,Bordeaux,5,276,2,1,0.22,0.63,0.07,0.21,2019,4
37,Ludovic Ajorque,Strasbourg,7,518,2,0,1.69,0.45,0.29,0.08,2019,4
38,Farid El Melali,Angers,3,177,2,0,1.33,0.07,0.68,0.03,2019,4
39,Boulaye Dia,Reims,8,610,2,1,1.73,1.60,0.26,0.24,2019,4
40,Kévin Denkey,Nimes,4,27,2,0,0.73,0.00,2.43,0.0,2019,4
41,Kasper Dolberg,Nice,4,316,2,0,0.80,0.42,0.23,0.12,2019,4
42,Dante,Nice,3,270,1,0,0.10,0.02,0.03,0.01,2019,4
43,Max Gradel,Toulouse,8,652,1,2,1.68,1.43,0.23,0.2,2019,4
44,Loïc Remy,Lille,4,108,1,0,0.51,0.00,0.42,0.0,2019,4
45,Mathieu Debuchy,Saint-Etienne,8,720,1,1,0.89,0.47,0.11,0.06,2019,4
46,Jeff Reine-Adelaide,Angers,6,381,1,1,0.63,0.55,0.15,0.13,2019,4
47,Moussa Doumbia,Lyon,8,564,1,0,2.04,0.26,0.33,0.04,2019,4
48,Gaëtan Charbonnier,Reims,8,700,1,0,2.08,0.98,0.27,0.13,2019,4
49,Pablo,Brest,7,617,1,0,0.17,0.02,0.02,0.0,2019,4
50,Jérémy Morel,Rennes,8,720,1,0,0.88,0.04,0.11,0.0,2019,4
51,Maxwel Cornet,Lyon,6,240,1,0,0.29,0.18,0.11,0.07,2019,4
52,Marquinhos,Paris Saint Germain,7,561,1,0,0.46,0.46,0.07,0.07,2019,4
53,Mathieu Bodmer,Amiens,2,9,1,0,0.11,0.00,1.06,0.0,2019,4
54,Kylian Mbappe-Lottin,Paris Saint Germain,4,278,1,2,3.42,1.97,1.11,0.64,2019,4
55,Thomas Mangani,Angers,7,614,1,1,0.78,0.73,0.11,0.11,2019,4
56,Pierrick Capelle,Angers,8,629,1,2,0.91,1.65,0.13,0.24,2019,4
57,Renaud Cohade,Metz,7,429,1,0,0.11,0.64,0.02,0.13,2019,4
58,Christophe Jallet,Amiens,6,475,1,1,0.04,0.30,0.01,0.06,2019,4
59,Clément Grenier,Rennes,7,537,1,0,0.44,0.51,0.07,0.09,2019,4
60,Alexandre Mendy,Brest,4,113,1,0,0.50,0.00,0.39,0.0,2019,4
61,Samuel Grandsir,Brest,8,567,1,0,0.72,0.55,0.11,0.09,2019,4
62,Romain Del Castillo,Rennes,5,269,1,0,0.62,0.08,0.21,0.03,2019,4
63,Hassane Kamara,Reims,4,358,1,0,0.42,0.03,0.1,0.01,2019,4
64,Lucas Tousart,Lyon,7,466,1,1,0.14,0.36,0.03,0.07,2019,4
65,Jonathan Bamba,Lille,7,625,1,1,2.37,0.60,0.34,0.09,2019,4
