,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,year,league
0,Gerard Moreno,Villarreal,7,593,6,1,3.43,2.53,0.52,0.38,2019,2
1,Karim Benzema,Real Madrid,6,527,5,1,3.12,0.72,0.53,0.12,2019,2
2,Loren Morón,Real Betis,6,417,5,1,3.04,0.09,0.66,0.02,2019,2
3,Santiago Cazorla,Villarreal,7,571,4,3,2.73,1.90,0.43,0.3,2019,2
4,Mikel Oyarzabal,Real Sociedad,7,602,4,2,3.94,1.35,0.59,0.2,2019,2
5,Raúl García,Athletic Club,7,630,4,0,2.62,0.69,0.37,0.1,2019,2
6,Joselu,Alaves,6,479,3,0,2.51,0.00,0.47,0.0,2019,2
7,Luis Suárez,Barcelona,5,322,3,0,1.49,0.23,0.42,0.07,2019,2
8,Antoine Griezmann,Barcelona,7,617,3,2,1.81,0.80,0.26,0.12,2019,2
9,Willian José,Real Sociedad,7,435,3,0,2.53,0.14,0.52,0.03,2019,2
10,Gerard Moreno,Villarreal,7,593,6,1,3.43,2.53,0.52,0.38,2019,2
11,Karim Benzema,Real Madrid,6,527,5,1,3.12,0.72,0.53,0.12,2019,2
12,Loren Morón,Real Betis,6,417,5,1,3.04,0.09,0.66,0.02,2019,2
13,Santiago Cazorla,Villarreal,7,571,4,3,2.73,1.90,0.43,0.3,2019,2
14,Mikel Oyarzabal,Real Sociedad,7,602,4,2,3.94,1.35,0.59,0.2,2019,2
15,Raúl García,Athletic Club,7,630,4,0,2.62,0.69,0.37,0.1,2019,2
16,Joselu,Alaves,6,479,3,0,2.51,0.00,0.47,0.0,2019,2
17,Luis Suárez,Barcelona,5,322,3,0,1.49,0.23,0.42,0.07,2019,2
18,Antoine Griezmann,Barcelona,7,617,3,2,1.81,0.80,0.26,0.12,2019,2
19,Willian José,Real Sociedad,7,435,3,0,2.53,0.14,0.52,0.03,2019,2
20,Joan Jordán,Sevilla,7,488,2,1,0.89,0.71,0.16,0.13,2019,2
21,Jorge Molina,Getafe,6,367,2,0,2.35,0.54,0.58,0.13,2019,2
22,Moi Gómez,Villarreal,7,486,2,1,1.17,0.37,0.22,0.07,2019,2
23,Gareth Bale,Real Madrid,5,437,2,1,1.63,1.10,0.34,0.23,2019,2
24,Fabián Orellana,Eibar,7,591,2,2,2.01,0.91,0.31,0.14,2019,2
25,Kevin Gameiro,Valencia,5,365,2,0,1.93,0.17,0.48,0.04,2019,2
26,Vitolo,Atletico Madrid,7,307,2,0,1.76,0.06,0.52,0.02,2019,2
27,Martin Odegaard,Real Sociedad,7,630,2,2,1.35,2.11,0.19,0.3,2019,2
28,Roger,Levante,7,283,2,0,1.84,0.08,0.58,0.03,2019,2
29,Nabil Fekir,Real Betis,5,435,2,0,1.00,0.58,0.21,0.12,2019,2
30,Ramón Azeez,Granada,5,205,2,0,1.44,0.00,0.63,0.0,2019,2
31,Ángel,Getafe,6,225,2,0,1.55,0.14,0.62,0.06,2019,2
32,Roberto Torres,Osasuna,7,559,2,2,2.44,1.30,0.39,0.21,2019,2
33,Sergi Guardiola,Real Valladolid,7,608,2,0,2.40,0.03,0.36,0.0,2019,2
34,Karl Toko Ekambi,Villarreal,7,307,2,2,2.96,0.85,0.87,0.25,2019,2
35,Óscar Rodríguez,Leganes,6,491,2,0,1.15,1.16,0.21,0.21,2019,2
36,Arthur,Barcelona,4,288,2,1,0.15,0.21,0.05,0.07,2019,2
37,Samuel Chukwueze,Villarreal,6,380,2,1,0.57,1.98,0.13,0.47,2019,2
38,Hernâni,Levante,4,179,2,0,0.67,0.56,0.33,0.28,2019,2
39,João Félix,Atletico Madrid,7,529,2,1,2.72,0.44,0.46,0.07,2019,2
40,Anssumane Fati,Barcelona,5,165,2,1,0.43,0.75,0.24,0.41,2019,2
41,Arturo Vidal,Barcelona,4,58,1,0,0.50,0.00,0.78,0.0,2019,2
42,Nacho Monreal,Real Sociedad,4,360,1,0,0.69,0.01,0.17,0.0,2019,2
43,Nyom,Getafe,7,491,1,0,0.60,0.07,0.11,0.01,2019,2
44,Diego Costa,Atletico Madrid,5,430,1,1,1.35,1.68,0.28,0.35,2019,2
45,Lucas Pérez,Alaves,7,312,1,0,0.86,0.81,0.25,0.23,2019,2
46,Álvaro Morata,Atletico Madrid,4,206,1,0,1.93,1.27,0.84,0.56,2019,2
47,Robert Ibáñez,Osasuna,7,291,1,0,0.79,0.10,0.25,0.03,2019,2
48,Gerard Piqué,Barcelona,7,630,1,0,0.91,0.16,0.13,0.02,2019,2
49,Jordi Alba,Barcelona,4,360,1,0,0.35,1.20,0.09,0.3,2019,2
50,Iván Ramis,Eibar,5,370,1,0,0.10,0.08,0.02,0.02,2019,2
51,Joaquín,Real Betis,7,384,1,2,1.08,2.58,0.25,0.61,2019,2
52,Álvaro Vadillo,Granada,6,276,1,0,0.88,0.11,0.29,0.03,2019,2
53,Rubén García,Osasuna,6,420,1,0,0.22,0.14,0.05,0.03,2019,2
54,Morales,Levante,7,543,1,0,1.97,1.33,0.33,0.22,2019,2
55,Pedro León,Eibar,6,359,1,0,0.61,0.59,0.15,0.15,2019,2
56,Esteban Granero,Espanyol,2,78,1,0,1.06,0.02,1.23,0.02,2019,2
57,Casemiro,Real Madrid,7,602,1,1,1.11,0.12,0.17,0.02,2019,2
58,Borja Mayoral,Levante,6,462,1,0,2.54,0.82,0.49,0.16,2019,2
59,Lucas Vázquez,Real Madrid,6,276,1,0,0.86,0.81,0.28,0.27,2019,2
60,Denis Suárez,Celta Vigo,7,605,1,1,1.33,1.32,0.2,0.2,2019,2
61,Roberto Soldado,Granada,6,466,1,2,0.76,1.02,0.15,0.2,2019,2
62,Thomas Partey,Atletico Madrid,6,343,1,0,0.49,0.03,0.13,0.01,2019,2
63,Charles,Eibar,5,196,1,0,0.83,0.08,0.38,0.04,2019,2
64,Toni Kroos,Real Madrid,7,623,1,1,0.59,1.40,0.09,0.2,2019,2
65,Santi Mina,Celta Vigo,6,382,1,1,0.47,0.90,0.11,0.21,2019,2
