,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,league,year
0,Victor Osimhen,Lille,6,522,5,1,2.96,0.87,0.51,0.15,5,2019
1,Moussa Dembele,Lyon,5,427,5,0,1.63,0.25,0.34,0.05,5,2019
2,Memphis Depay,Lyon,5,450,4,1,1.74,1.07,0.35,0.21,5,2019
3,Wissam Ben Yedder,Monaco,5,309,4,0,4.42,0.73,1.29,0.21,5,2019
4,Habib Diallo,Metz,6,540,4,0,3.45,0.30,0.57,0.05,5,2019
5,Darío Benedetto,Marseille,7,541,4,0,3.14,0.25,0.52,0.04,5,2019
6,Eric Maxim Choupo-Moting,Paris Saint Germain,4,323,3,0,2.23,0.14,0.62,0.04,5,2019
7,Islam Slimani,Monaco,4,360,3,1,3.30,1.74,0.83,0.44,5,2019
8,Casimir Ninga,Angers,4,100,3,0,1.87,0.10,1.68,0.09,5,2019
9,Jimmy Briand,Bordeaux,6,329,3,0,1.05,0.29,0.29,0.08,5,2019
10,Romain Hamouma,Saint-Etienne,5,289,3,0,1.24,0.40,0.39,0.13,5,2019
11,Wylan Cyprien,Nice,7,630,3,2,3.13,1.03,0.45,0.15,5,2019
12,Kalifa Coulibaly,Nantes,6,540,3,0,1.40,0.33,0.23,0.06,5,2019
13,Dimitri Payet,Marseille,6,540,2,0,1.46,1.23,0.24,0.2,5,2019
14,M'Baye Niang,Rennes,5,434,2,0,0.80,0.11,0.17,0.02,5,2019
15,Neymar,Paris Saint Germain,2,180,2,0,1.04,0.18,0.52,0.09,5,2019
16,Aleksandr Golovin,Monaco,6,519,2,1,0.94,1.76,0.16,0.3,5,2019
17,Nicolas de Preville,Bordeaux,5,427,2,0,1.08,0.85,0.23,0.18,5,2019
18,Edinson Cavani,Paris Saint Germain,3,193,2,0,2.09,0.11,0.97,0.05,5,2019
19,Valère Germain,Marseille,7,379,2,1,1.14,0.67,0.27,0.16,5,2019
20,Romain Philippoteaux,Nimes,6,430,2,1,1.22,0.17,0.26,0.04,5,2019
21,Andy Delort,Montpellier,6,532,2,1,4.57,0.88,0.77,0.15,5,2019
22,Jean-Victor Makengo,Toulouse,6,479,2,0,0.56,0.44,0.11,0.08,5,2019
23,Adrien Thomasson,Strasbourg,5,419,2,0,0.94,0.02,0.2,0.0,5,2019
24,Ángel Di María,Paris Saint Germain,6,447,2,2,2.57,1.78,0.52,0.36,5,2019
25,Sehrou Guirassy,Amiens,6,514,2,2,2.27,0.70,0.4,0.12,5,2019
26,Mathias Autret,Brest,6,418,2,2,1.19,0.90,0.26,0.19,5,2019
27,Júlio Tavares,Dijon,4,360,2,0,2.92,0.25,0.73,0.06,5,2019
28,Farid El Melali,Angers,3,177,2,0,1.33,0.07,0.68,0.03,5,2019
29,Efthymios Koulouris,Toulouse,6,417,2,1,2.06,0.45,0.44,0.1,5,2019
30,Kévin Denkey,Nimes,2,7,2,0,0.66,0.00,8.51,0.0,5,2019
31,Dante,Nice,3,270,1,0,0.10,0.02,0.03,0.01,5,2019
32,Max Gradel,Toulouse,6,540,1,1,1.59,1.09,0.26,0.18,5,2019
33,Jeff Reine-Adelaide,Angers,4,302,1,1,0.63,0.55,0.19,0.16,5,2019
34,Keita,Lyon,4,127,1,0,0.87,0.05,0.62,0.04,5,2019
35,Moussa Doumbia,Monaco,6,483,1,0,1.96,0.24,0.36,0.05,5,2019
36,Gaëtan Charbonnier,Reims,6,530,1,0,1.77,0.85,0.3,0.14,5,2019
37,Pablo,Brest,5,450,1,0,0.17,0.00,0.03,0.0,5,2019
38,Jérémy Morel,Bordeaux,6,540,1,0,0.86,0.02,0.14,0.0,5,2019
39,Marquinhos,Rennes,5,450,1,0,0.43,0.46,0.09,0.09,5,2019
40,Mathieu Bodmer,Amiens,1,1,1,0,0.08,0.00,7.38,0.0,5,2019
41,Kylian Mbappe-Lottin,Paris Saint Germain,3,248,1,1,2.60,1.15,0.94,0.42,5,2019
42,Thomas Mangani,Angers,6,524,1,1,0.76,0.63,0.13,0.11,5,2019
43,Pierrick Capelle,Angers,6,520,1,2,0.82,1.56,0.14,0.27,5,2019
44,Renaud Cohade,Metz,5,382,1,0,0.09,0.64,0.02,0.15,5,2019
45,Christophe Jallet,Amiens,6,475,1,1,0.04,0.30,0.01,0.06,5,2019
46,Clément Grenier,Rennes,5,431,1,0,0.44,0.51,0.09,0.11,5,2019
47,Abdoulaye Touré,Nantes,6,540,1,0,0.35,0.11,0.06,0.02,5,2019
48,Samuel Grandsir,Brest,6,479,1,0,0.63,0.55,0.12,0.1,5,2019
49,Romain Del Castillo,Rennes,4,203,1,0,0.55,0.08,0.25,0.04,5,2019
50,Lucas Tousart,Lyon,6,376,1,0,0.10,0.07,0.03,0.02,5,2019
51,Jonathan Bamba,Lille,6,535,1,0,2.33,0.54,0.39,0.09,5,2019
52,Denis Bouanga,Saint-Etienne,6,437,1,1,1.79,0.67,0.37,0.14,5,2019
53,Adrien Hunou,Rennes,3,39,1,0,0.33,0.08,0.75,0.19,5,2019
