,Unnamed: 0,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90
0,0,Raheem Sterling,Manchester City,3,270,5,0,3.10,0.25,1.03,0.08
1,1,Teemu Pukki,Norwich,3,266,5,1,1.74,1.43,0.59,0.48
2,2,Sergio Agüero,Manchester City,3,178,4,0,2.65,0.32,1.34,0.16
3,3,Ashley Barnes,Burnley,3,257,4,0,2.10,0.00,0.74,0.0
4,4,Mohamed Salah,Liverpool,3,261,3,1,2.46,0.43,0.85,0.15
5,5,Pierre-Emerick Aubameyang,Arsenal,3,270,2,0,1.21,0.22,0.4,0.07
6,6,Anthony Martial,Manchester United,3,270,2,1,1.17,0.14,0.39,0.05
7,7,Marcus Rashford,Manchester United,3,268,2,1,2.32,0.18,0.78,0.06
8,8,Harry Kane,Tottenham,3,270,2,0,1.28,0.11,0.43,0.04
9,9,Tammy Abraham,Chelsea,3,172,2,0,0.54,0.12,0.28,0.06
10,10,Daniel James,Manchester United,3,194,2,0,0.80,0.00,0.37,0.0
11,11,Harry Wilson,Bournemouth,2,133,2,0,0.42,0.39,0.28,0.26
12,12,Sébastien Haller,West Ham,2,180,2,0,1.90,0.00,0.95,0.0
13,13,Mason Mount,Chelsea,3,270,2,0,0.87,0.35,0.29,0.12
14,14,Joelinton,Newcastle United,3,249,1,0,0.77,0.17,0.28,0.06
15,15,Chicharito,West Ham,2,107,1,0,0.88,0.00,0.74,0.0
16,16,Joel Matip,Liverpool,2,180,1,0,0.16,0.02,0.08,0.01
17,17,Joshua King,Bournemouth,3,270,1,0,0.90,0.11,0.3,0.04
18,18,Roberto Firmino,Liverpool,3,267,1,1,1.75,0.37,0.59,0.12
19,19,Divock Origi,Liverpool,2,86,1,0,0.26,0.18,0.27,0.19
20,20,Mark Noble,West Ham,1,90,1,0,0.76,0.02,0.76,0.02
21,21,Erik Lamela,Tottenham,3,241,1,1,0.28,0.11,0.1,0.04
22,22,Jordan Ayew,Crystal Palace,2,148,1,0,0.82,0.06,0.5,0.04
23,23,Patrick van Aanholt,Crystal Palace,3,270,1,0,0.10,0.06,0.03,0.02
24,24,Jamie Vardy,Leicester,3,270,1,0,0.45,0.00,0.15,0.0
25,25,Jonjo Shelvey,Newcastle United,2,146,1,0,0.15,0.15,0.09,0.09
26,26,Nathan Redmond,Southampton,3,270,1,0,1.08,0.47,0.36,0.16
27,27,Virgil van Dijk,Liverpool,3,270,1,0,0.14,0.00,0.05,0.0
28,28,Sadio Mané,Liverpool,3,182,1,1,0.57,1.18,0.28,0.58
29,29,Danny Ings,Southampton,3,180,1,1,0.78,0.20,0.39,0.1
30,30,Lucas Torreira,Arsenal,2,33,1,0,0.17,0.04,0.47,0.12
31,31,Andre Gray,Watford,3,171,1,0,0.42,1.17,0.22,0.61
32,32,Johann Berg Gudmundsson,Burnley,3,231,1,0,0.19,0.53,0.08,0.21
33,33,Oliver McBurnie,Sheffield United,3,92,1,0,0.75,0.00,0.74,0.0
34,34,Alexandre Lacazette,Arsenal,2,79,1,0,0.42,0.03,0.48,0.03
35,35,Lucas Moura,Tottenham,3,212,1,1,0.84,0.34,0.36,0.14
36,36,Neal Maupay,Brighton,3,124,1,0,1.36,0.03,0.99,0.02
37,37,Florin Andone,Brighton,3,69,1,0,0.36,0.06,0.48,0.08
38,38,Raúl Jiménez,Wolverhampton Wanderers,3,270,1,0,1.24,0.37,0.41,0.12
39,39,Gabriel Jesus,Manchester City,2,92,1,0,0.71,0.00,0.69,0.0
40,40,Wilfred Ndidi,Leicester,2,180,1,0,0.28,0.02,0.14,0.01
41,41,Anwar El Ghazi,Aston Villa,3,178,1,0,0.60,0.00,0.3,0.0
42,42,Tanguy NDombele Alvaro,Tottenham,2,180,1,1,0.04,0.15,0.02,0.08
43,43,Douglas Luiz,Aston Villa,3,187,1,0,0.04,0.06,0.02,0.03
44,44,Harvey Barnes,Leicester,2,53,1,0,0.04,0.00,0.07,0.0
45,45,Rúben Neves,Wolverhampton Wanderers,3,262,1,0,0.10,0.31,0.04,0.11
46,46,Bernard,Everton,3,245,1,0,0.18,0.24,0.07,0.09
47,47,Chris Mepham,Bournemouth,2,180,1,0,0.70,0.00,0.35,0.0
48,48,Todd Cantwell,Norwich,3,270,1,2,1.32,0.82,0.44,0.27
49,49,Leandro Trossard,Brighton,2,176,1,0,0.58,0.54,0.3,0.28
50,50,Moussa Djenepo,Southampton,2,45,1,0,0.12,0.00,0.24,0.0
51,51,John Lundstram,Sheffield United,3,259,1,0,0.96,1.14,0.33,0.4
52,52,Billy Sharp,Sheffield United,2,42,1,0,0.77,0.41,1.64,0.87
53,53,John McGinn,Aston Villa,3,270,1,1,0.43,0.44,0.14,0.15
54,54,Wesley,Aston Villa,3,255,1,0,0.63,0.47,0.22,0.17
55,55,Mario Vrancic,Norwich,2,11,0,0,0.11,0.10,0.9,0.8
56,56,Yoshinori Muto,Newcastle United,2,22,0,0,0.00,0.00,0.0,0.0
57,57,Fabian Schär,Newcastle United,3,270,0,0,0.04,0.00,0.01,0.0
58,58,Allan Saint-Maximin,Newcastle United,2,37,0,0,0.03,0.00,0.06,0.0
59,59,Jannik Vestergaard,Southampton,3,270,0,0,0.15,0.69,0.05,0.23
60,60,Bernd Leno,Arsenal,3,270,0,0,0.00,0.00,0.0,0.0
61,61,Andreas Christensen,Chelsea,3,270,0,0,0.28,0.00,0.09,0.0
62,62,Granit Xhaka,Arsenal,2,180,0,0,0.04,0.09,0.02,0.05
63,63,Josip Drmic,Norwich,1,4,0,0,0.00,0.00,0.0,0.0
64,64,Pascal Groß,Brighton,3,167,0,0,0.08,0.87,0.05,0.47
65,65,Ilkay Gündogan,Manchester City,3,164,0,0,0.11,0.15,0.06,0.08
66,66,Henrikh Mkhitaryan,Arsenal,2,88,0,0,0.34,0.15,0.35,0.15
67,67,Max Meyer,Crystal Palace,2,158,0,0,0.23,0.00,0.13,0.0
68,68,Sead Kolasinac,Arsenal,1,18,0,0,0.00,0.00,0.0,0.0
69,69,Pierre-Emile Højbjerg,Southampton,3,194,0,0,0.07,0.00,0.03,0.0
70,70,Sokratis,Arsenal,3,270,0,0,0.00,0.36,0.0,0.12
71,71,Kevin De Bruyne,Manchester City,3,260,0,4,0.56,2.82,0.2,0.97
72,72,Son Heung-Min,Tottenham,1,90,0,0,0.18,0.04,0.18,0.04
73,73,Steve Cook,Bournemouth,3,270,0,0,0.06,0.11,0.02,0.04
74,74,Charlie Daniels,Bournemouth,2,126,0,0,0.00,0.14,0.0,0.1
75,75,Andrew Surman,Bournemouth,1,41,0,0,0.00,0.00,0.0,0.0
76,76,Matt Ritchie,Newcastle United,3,270,0,0,0.07,0.38,0.02,0.13
77,77,Callum Wilson,Bournemouth,3,255,0,0,1.22,0.47,0.43,0.17
78,78,Jordon Ibe,Bournemouth,1,16,0,0,0.00,0.00,0.0,0.0
79,79,Adam Lallana,Liverpool,1,2,0,0,0.00,0.00,0.0,0.0
80,80,James Milner,Liverpool,3,96,0,1,0.12,0.15,0.11,0.14
81,81,Nacho Monreal,Arsenal,3,270,0,0,0.04,0.46,0.01,0.15
82,82,Alex Iwobi,Everton,1,25,0,0,0.15,0.00,0.53,0.0
83,83,Danny Welbeck,Watford,2,33,0,0,0.00,0.01,0.0,0.04
