,Unnamed: 0,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,league,year
10,10,Sergio Agüero,Manchester City,6,448,8,2,6.66,1.94,1.34,0.39,1,2018
11,11,Tammy Abraham,Chelsea,6,416,7,0,3.62,0.87,0.78,0.19,1,2018
12,12,Pierre-Emerick Aubameyang,Arsenal,6,540,6,0,2.83,0.28,0.47,0.05,1,2018
13,13,Teemu Pukki,Norwich,6,536,6,2,3.12,2.13,0.52,0.36,1,2018
14,14,Raheem Sterling,Manchester City,5,450,5,0,3.91,1.45,0.78,0.29,1,2018
15,15,Callum Wilson,Bournemouth,6,525,4,0,2.87,0.58,0.49,0.1,1,2018
16,16,Harry Kane,Tottenham,6,537,4,1,2.91,0.65,0.49,0.11,1,2018
17,17,Sadio Mané,Liverpool,6,432,4,1,1.87,1.35,0.39,0.28,1,2018
18,18,Mohamed Salah,Liverpool,6,531,4,3,3.37,1.21,0.57,0.21,1,2018
19,19,Bernardo Silva,Manchester City,5,339,4,1,2.61,1.62,0.69,0.43,1,2018
20,20,Anthony Martial,Manchester United,3,270,2,1,1.17,0.14,0.39,0.05,1,2018
21,21,Erik Lamela,Tottenham,6,475,2,1,0.86,0.45,0.16,0.09,1,2018
22,22,Jordan Ayew,Crystal Palace,5,378,2,0,1.13,0.19,0.27,0.04,1,2018
23,23,Alexandre Lacazette,Arsenal,3,148,2,0,0.94,0.17,0.57,0.1,1,2018
24,24,Neal Maupay,Brighton,6,362,2,0,2.26,0.36,0.56,0.09,1,2018
25,25,Raúl Jiménez,Wolverhampton Wanderers,6,509,2,0,1.95,0.98,0.34,0.17,1,2018
26,26,Chris Wood,Burnley,6,489,2,0,2.54,0.25,0.47,0.05,1,2018
27,27,Richarlison,Everton,6,498,2,1,1.64,1.0,0.3,0.18,1,2018
28,28,Andriy Yarmolenko,West Ham,5,299,2,0,0.56,0.49,0.17,0.15,1,2018
29,29,Todd Cantwell,Norwich,6,531,2,2,2.66,0.88,0.45,0.15,1,2018
30,30,Moussa Djenepo,Southampton,3,120,2,0,0.5,0.34,0.37,0.26,1,2018
31,31,John McGinn,Aston Villa,6,540,2,1,1.19,0.7,0.2,0.12,1,2018
32,32,Wesley,Aston Villa,6,521,2,0,1.96,0.47,0.34,0.08,1,2018
33,33,Fabian Schär,Newcastle United,6,531,1,0,0.69,0.0,0.12,0.0,1,2018
34,34,Joelinton,Newcastle United,6,519,1,0,1.32,0.49,0.23,0.08,1,2018
35,35,Jannik Vestergaard,Southampton,6,540,1,0,0.39,0.69,0.07,0.11,1,2018
36,36,Chicharito,West Ham,2,107,1,0,0.88,0.0,0.74,0.0,1,2018
37,37,Joel Matip,Liverpool,5,450,1,0,0.17,0.02,0.03,0.0,1,2018
38,38,Joshua King,Bournemouth,6,532,1,1,0.97,0.81,0.16,0.14,1,2018
39,39,Divock Origi,Liverpool,4,126,1,0,0.3,0.18,0.22,0.13,1,2018
40,40,Alex Iwobi,Everton,4,226,1,0,0.87,0.15,0.35,0.06,1,2018
41,41,Calum Chambers,Arsenal,2,131,1,0,0.11,0.05,0.07,0.04,1,2018
42,42,Mark Noble,West Ham,4,358,1,0,0.89,0.11,0.22,0.03,1,2018
