,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,Year,league
0,Sergio Agüero,Manchester City,5,358,7,1,4.07,0.73,1.02,0.18,2019,1
1,Tammy Abraham,Chelsea,5,336,7,0,2.77,0.87,0.74,0.23,2019,1
2,Teemu Pukki,Norwich,5,446,6,2,2.69,2.13,0.54,0.43,2019,1
3,Raheem Sterling,Manchester City,5,450,5,0,3.91,1.45,0.78,0.29,2019,1
4,Sadio Mané,Liverpool,5,358,4,1,1.77,1.35,0.44,0.34,2019,1
5,Mohamed Salah,Liverpool,5,441,4,2,3.27,1.16,0.67,0.24,2019,1
6,Ashley Barnes,Burnley,5,421,4,0,2.23,0.00,0.48,0.0,2019,1
7,Pierre-Emerick Aubameyang,Arsenal,4,360,3,0,1.78,0.28,0.44,0.07,2019,1
8,Marcus Rashford,Manchester United,5,448,3,1,4.12,0.29,0.83,0.06,2019,1
9,Harry Kane,Tottenham,5,447,3,1,2.18,0.65,0.44,0.13,2019,1
10,Jamie Vardy,Leicester,5,450,3,1,1.11,0.66,0.22,0.13,2019,1
11,Daniel James,Manchester United,5,374,3,0,1.12,0.40,0.27,0.1,2019,1
12,Sébastien Haller,West Ham,3,270,3,0,3.03,0.00,1.01,0.0,2019,1
13,Mason Mount,Chelsea,5,450,3,0,1.54,0.75,0.31,0.15,2019,1
14,Son Heung-Min,Tottenham,3,261,2,0,0.64,0.21,0.22,0.07,2019,1
15,Roberto Firmino,Liverpool,5,407,2,3,2.28,1.82,0.5,0.4,2019,1
16,Anthony Martial,Manchester United,3,270,2,1,1.17,0.14,0.39,0.05,2019,1
17,Erik Lamela,Tottenham,5,393,2,1,0.80,0.25,0.18,0.06,2019,1
18,Jordan Ayew,Crystal Palace,4,308,2,0,1.11,0.19,0.32,0.05,2019,1
19,Alexandre Lacazette,Arsenal,3,148,2,0,0.94,0.17,0.57,0.1,2019,1
20,Neal Maupay,Brighton,5,279,2,0,1.63,0.36,0.53,0.12,2019,1
21,Raúl Jiménez,Wolverhampton Wanderers,5,432,2,0,1.84,0.37,0.38,0.08,2019,1
