,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,league,year
0,Fabio Quagliarella,Sampdoria,37,3224,26,8,23.93,4.58,0.67,0.13,3,2018
1,Duván Zapata,Atalanta,37,2908,23,7,20.49,10.13,0.63,0.31,3,2018
2,Krzysztof Piatek,AC Milan,37,2974,22,0,17.77,3.07,0.54,0.09,3,2018
3,Cristiano Ronaldo,Genoa,31,2692,21,8,23.32,5.19,0.78,0.17,3,2018
4,Arkadiusz Milik,Juventus,35,2403,17,3,14.08,3.24,0.53,0.12,3,2018
5,Leonardo Pavoletti,Napoli,32,2748,16,1,12.38,1.58,0.41,0.05,3,2018
6,Dries Mertens,Cagliari,35,2245,16,11,12.38,9.39,0.5,0.38,3,2018
7,Andrea Petagna,Napoli,36,3060,16,1,14.78,2.01,0.43,0.06,3,2018
8,Francesco Caputo,SPAL 2013,38,3420,16,3,18.36,5.18,0.48,0.14,3,2018
9,Andrea Belotti,Empoli,37,3304,15,3,17.01,4.31,0.46,0.12,3,2018
10,Ciro Immobile,Lazio,36,2862,15,6,16.13,6.48,0.51,0.2,3,2018
11,Josip Ilicic,Atalanta,31,2156,12,7,10.77,7.92,0.45,0.33,3,2018
12,Stephan El Shaarawy,Roma,28,2115,11,3,8.62,5.50,0.37,0.23,3,2018
13,Gregoire Defrel,Sampdoria,36,2339,11,3,8.63,3.16,0.33,0.12,3,2018
14,Mauro Icardi,Inter,29,2266,11,4,15.23,3.90,0.6,0.16,3,2018
15,Gervinho,Parma Calcio 1913,30,2312,11,2,7.67,4.02,0.3,0.16,3,2018
16,Lorenzo Insigne,Napoli,28,2081,10,6,10.42,5.12,0.45,0.22,3,2018
17,Rodrigo de Paul,Udinese,36,3197,9,9,9.15,8.79,0.26,0.25,3,2018
18,Edin Dzeko,Roma,33,2575,9,6,15.17,4.33,0.53,0.15,3,2018
19,Mario Mandzukic,Juventus,25,2028,9,6,6.68,4.05,0.3,0.18,3,2018
20,Roberto Inglese,Parma Calcio 1913,25,1977,9,0,7.69,0.66,0.35,0.03,3,2018
21,Ivan Perisic,Inter,34,2714,8,3,10.42,6.95,0.35,0.23,3,2018
22,Aleksandar Kolarov,Roma,33,2904,8,2,4.58,6.51,0.14,0.2,3,2018
23,Domenico Berardi,Sassuolo,35,2887,8,4,9.03,5.24,0.28,0.16,3,2018
24,Felipe Caicedo,Lazio,28,1377,8,2,7.83,1.36,0.51,0.09,3,2018
25,Riccardo Orsolini,Bologna,35,1958,8,5,5.48,2.88,0.25,0.13,3,2018
26,Federico Santander,Bologna,32,2058,8,3,7.91,3.42,0.35,0.15,3,2018
27,Suso,AC Milan,35,3044,7,10,4.04,10.72,0.12,0.32,3,2018
28,Marco Benassi,Fiorentina,32,2319,7,1,5.96,1.85,0.23,0.07,3,2018
29,Federico Chiesa,Fiorentina,37,3038,7,3,9.37,5.67,0.28,0.17,3,2018
30,Khouma Babacar,Sassuolo,29,1486,7,2,8.07,1.27,0.49,0.08,3,2018
31,Franck Kessié,AC Milan,34,3030,7,2,7.74,2.90,0.23,0.09,3,2018
32,Alejandro Gomez,Atalanta,35,2930,7,11,9.06,11.32,0.28,0.35,3,2018
33,João Pedro,Cagliari,34,2590,7,2,8.50,3.36,0.3,0.12,3,2018
34,Diego Farias,Cagliari,32,1904,7,4,7.48,3.59,0.35,0.17,3,2018
35,Camillo Ciano,Empoli,33,2471,7,4,6.58,7.03,0.24,0.26,3,2018
36,Giovanni Simeone,Frosinone,36,2462,6,3,11.00,2.52,0.4,0.09,3,2018
