,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,year,league
0,Duván Zapata,Atalanta,6,456,5,1,3.02,1.02,0.6,0.2,2019,3
1,Ciro Immobile,Lazio,6,456,5,2,3.27,1.48,0.64,0.29,2019,3
2,Domenico Berardi,Sassuolo,5,437,5,2,2.18,1.25,0.45,0.26,2019,3
3,Edin Dzeko,Roma,6,540,4,1,4.06,0.87,0.68,0.14,2019,3
4,Dries Mertens,Napoli,5,438,4,0,2.40,1.00,0.49,0.2,2019,3
5,Alfredo Donnarumma,Brescia,6,479,4,0,2.35,0.12,0.44,0.02,2019,3
6,Marco Mancosu,Lecce,6,378,4,0,3.34,0.38,0.79,0.09,2019,3
7,Romelu Lukaku,Inter,6,453,3,0,3.53,0.45,0.7,0.09,2019,3
8,Aleksandar Kolarov,Roma,6,540,3,1,2.23,1.33,0.37,0.22,2019,3
9,Andrea Belotti,Torino,5,450,3,1,2.32,0.52,0.46,0.1,2019,3
10,Luis Muriel,Atalanta,4,147,3,0,1.72,0.58,1.05,0.36,2019,3
11,Lorenzo Insigne,Napoli,5,316,3,3,3.78,0.49,1.08,0.14,2019,3
12,Erick Pulgar,Fiorentina,6,540,3,1,2.65,1.19,0.44,0.2,2019,3
13,Stefano Sensi,Inter,6,426,3,2,0.92,1.45,0.19,0.31,2019,3
14,Cristiano Ronaldo,Juventus,5,450,3,1,3.40,1.42,0.68,0.28,2019,3
15,Francesco Caputo,Sassuolo,5,435,3,1,1.80,0.54,0.37,0.11,2019,3
16,Christian Kouamé,Genoa,6,540,3,0,1.48,0.40,0.25,0.07,2019,3
17,Franck Ribéry,Fiorentina,6,334,2,1,1.98,0.81,0.53,0.22,2019,3
18,Miguel Veloso,Verona,6,540,2,0,1.12,1.02,0.19,0.17,2019,3
19,Giovanni Simeone,Cagliari,5,379,2,0,1.60,0.60,0.38,0.14,2019,3
20,Kostas Manolas,Napoli,4,339,2,0,0.76,0.04,0.2,0.01,2019,3
21,Miralem Pjanic,Juventus,6,442,2,0,0.21,0.33,0.04,0.07,2019,3
22,Lucas Castro,Cagliari,6,289,2,0,0.60,0.16,0.19,0.05,2019,3
23,Federico Di Francesco,SPAL 2013,5,390,2,0,0.75,0.26,0.17,0.06,2019,3
24,Alejandro Gomez,Atalanta,6,441,2,3,1.63,1.12,0.33,0.23,2019,3
25,Andrea Petagna,SPAL 2013,6,540,2,1,1.12,1.14,0.19,0.19,2019,3
26,Marcelo Brozovic,Inter,6,540,2,0,0.43,0.41,0.07,0.07,2019,3
27,Luca Ceppitelli,Cagliari,6,451,2,0,0.71,0.00,0.14,0.0,2019,3
28,João Pedro,Cagliari,6,540,2,0,1.33,0.17,0.22,0.03,2019,3
29,Simone Zaza,Torino,4,312,2,0,1.17,0.09,0.34,0.03,2019,3
30,Fernando Llorente,Napoli,4,211,2,1,1.96,0.81,0.84,0.34,2019,3
31,Nicola Sansone,Bologna,6,476,2,1,3.56,2.35,0.67,0.45,2019,3
32,Domenico Criscito,Genoa,6,540,2,0,1.56,0.18,0.26,0.03,2019,3
33,Robin Gosens,Atalanta,6,419,2,0,1.27,0.08,0.27,0.02,2019,3
34,Krzysztof Piatek,AC Milan,6,447,2,0,4.52,0.26,0.91,0.05,2019,3
35,Hakan Calhanoglu,AC Milan,6,492,1,0,0.92,0.24,0.17,0.04,2019,3
36,Henrikh Mkhitaryan,Roma,4,292,1,1,0.66,0.77,0.2,0.24,2019,3
37,Alexis Sánchez,Inter,3,62,1,0,1.30,0.14,1.88,0.2,2019,3
38,Aaron Ramsey,Juventus,3,197,1,0,1.00,0.21,0.46,0.09,2019,3
